,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
454,The Skin I Live In,2011,120,7.6,70.0,141311,3.19
455,The Secret in Their Eyes,2009,129,8.2,80.0,196473,6.39
456,The Fighter,2010,116,7.8,79.0,344958,93.62
457,The Artist,2011,100,7.9,89.0,232737,44.67
458,The Boy in the Striped Pajamas,2008,94,7.8,55.0,194022,9.03
459,The Magnificent Seven,1960,128,7.7,74.0,88764,4.91
460,Groundhog Day,1993,101,8.0,72.0,585509,70.91
461,The Searchers,1956,119,7.9,94.0,81557,
462,In Bruges,2008,107,7.9,67.0,394664,7.76
463,Walk the Line,2005,136,7.8,72.0,236875,119.52
464,The Bourne Ultimatum,2007,115,8.0,85.0,608742,227.47
465,Raging Bull,1980,129,8.2,89.0,326558,23.38
466,The Lion in Winter,1968,134,7.9,,29380,22.28
467,Battle Royale,2000,114,7.6,81.0,170822,
468,The Wrestler,2008,109,7.9,80.0,291664,26.24
469,Eastern Promises,2007,100,7.6,82.0,230489,17.11
470,Empire of the Sun,1987,153,7.7,62.0,117461,22.24
471,The Bourne Supremacy,2004,108,7.7,73.0,439085,176.24
472,The Name of the Rose,1986,130,7.7,54.0,103336,7.15
473,Kramer vs. Kramer,1979,105,7.8,77.0,135630,106.26
474,Mad Max 2: The Road Warrior,1981,96,7.6,77.0,168489,12.47
475,Soorarai Pottru,2020,153,8.6,,59325,
476,Tumbbad,2018,104,8.3,,29914,
477,My Neighbor Totoro,1988,86,8.2,86.0,299070,1.11
478,North by Northwest,1959,136,8.3,98.0,303238,13.28
479,Butch Cassidy and the Sundance Kid,1969,110,8.0,66.0,203684,102.31
480,The Holy Mountain,1973,114,7.9,76.0,38255,0.06
481,Dangal,2016,161,8.4,,161610,12.39
482,Stalker,1979,162,8.2,,119903,0.23
483,This Is Spinal Tap,1984,82,7.9,92.0,130542,0.19
484,Das Boot,1981,149,8.3,86.0,235089,11.49
485,The Lego Movie,2014,100,7.7,83.0,327239,257.76
486,3:10 to Yuma,2007,122,7.7,76.0,292591,53.61
487,The Girl with the Dragon Tattoo,2009,152,7.8,76.0,210330,10.1
488,The Raid 2,2014,150,8.0,71.0,115648,2.63
489,Inherit the Wind,1960,128,8.1,75.0,27770,
490,A Bronx Tale,1993,121,7.8,80.0,130247,17.27
491,Philadelphia,1993,125,7.7,66.0,227320,77.32
492,Dawn of the Planet of the Apes,2014,130,7.6,79.0,415353,208.55
493,My Left Foot,1989,103,7.9,97.0,69346,14.74
494,The Last King of Scotland,2006,123,7.7,74.0,177261,17.61
495,Barry Lyndon,1975,185,8.1,89.0,152942,
496,Serpico,1973,130,7.7,87.0,111911,29.8
497,Glory,1989,122,7.8,78.0,125149,26.83
498,Chungking Express,1994,102,8.1,77.0,66380,0.6
499,Billy Elliot,2000,110,7.7,74.0,128124,22.0
500,Perfect Blue,1997,81,8.0,,60809,0.78
501,Hachi: A Dog's Tale,2009,93,8.1,,258654,
502,Monty Python's Life of Brian,1979,94,8.1,77.0,372490,20.05
503,Toy Story 2,1999,92,7.9,88.0,534511,245.85
504,Gandhi,1982,191,8.0,79.0,219445,52.77
505,Seven Pounds,2008,123,7.6,36.0,289348,69.95
506,Akira,1988,124,8.0,,168021,0.55
507,After Hours,1985,97,7.7,90.0,61569,10.6
508,Rushmore,1998,93,7.7,86.0,172060,17.11
509,Spartacus,1960,197,7.9,87.0,125787,30.0
510,Match Point,2005,124,7.6,72.0,208170,23.09
511,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76.0,155469,78.76
512,The Seventh Seal,1957,96,8.2,88.0,168547,
513,Sunset Blvd.,1950,110,8.4,,204882,
514,Wild Tales,2014,122,8.1,77.0,181326,3.11
515,The Last Emperor,1987,163,7.7,76.0,96033,43.98
516,Adaptation.,2002,115,7.7,83.0,180702,22.25
517,Network,1976,121,8.1,83.0,147130,
518,The Third Man,1949,93,8.1,97.0,161121,0.45
519,A Separation,2011,123,8.3,95.0,224439,7.1
520,Philomena,2013,98,7.6,77.0,95279,37.71
521,The Conversation,1974,113,7.8,85.0,101005,4.42
522,Nebraska,2013,115,7.7,87.0,113531,17.65
523,Annie Hall,1977,93,8.0,92.0,254042,39.2
524,Die Hard with a Vengeance,1995,128,7.6,58.0,367481,100.01
525,The Jungle Book,1967,78,7.6,65.0,168606,141.84
526,I Am Sam,2001,132,7.7,28.0,144087,40.31
527,Lost Highway,1997,134,7.6,52.0,133121,3.8
528,End of Watch,2012,109,7.6,68.0,230692,41.0
529,Rio Bravo,1959,141,8.0,93.0,57163,12.54
530,Raatchasan,2018,170,8.5,,27942,
531,Awakenings,1990,121,7.8,74.0,128278,52.1
532,Rebecca,1940,130,8.1,86.0,126065,4.36
533,Goldfinger,1964,110,7.7,87.0,176245,51.08
534,The Illusionist,2006,110,7.6,68.0,357403,39.87
535,Ran,1985,162,8.2,96.0,115012,4.14
536,Dirty Harry,1971,102,7.7,90.0,145169,35.9
537,Bonnie and Clyde,1967,111,7.8,86.0,104016,
538,Shadow of a Doubt,1943,108,7.8,94.0,60535,
539,Flipped,2010,90,7.7,45.0,82720,1.75
540,In the Heat of the Night,1967,110,7.9,75.0,68926,24.38
541,Dogville,2003,178,8.0,60.0,139601,1.53
542,"Paris, Texas",1984,145,8.1,78.0,94477,2.18
543,The French Connection,1971,104,7.7,94.0,112093,15.63
544,The Man from Earth,2007,87,7.9,,176344,
545,La Haine,1995,98,8.1,,154239,0.31
546,God's Own Country,2017,104,7.7,85.0,26303,0.34
547,Dawn of the Dead,1978,127,7.9,71.0,112648,5.1
548,All About Eve,1950,138,8.2,98.0,122362,0.01
549,Metropolis,1927,153,8.3,98.0,162459,1.24
550,Clerks,1994,92,7.7,70.0,212998,3.15
551,Miracle in Cell No. 7,2019,132,8.2,,38484,
552,The Apartment,1960,125,8.3,94.0,167267,18.6
553,Being There,1979,130,8.0,83.0,66727,30.18
554,The Dirty Dozen,1967,150,7.7,73.0,67974,45.3
555,Lord of War,2005,122,7.6,62.0,297007,24.15
556,A Fistful of Dollars,1964,99,8.0,65.0,200919,14.5
557,Hotel Rwanda,2004,121,8.1,79.0,337887,23.53
558,The Iron Giant,1999,86,8.0,85.0,174755,23.16
559,Badlands,1973,94,7.8,93.0,67332,
560,The Right Stuff,1983,193,7.8,91.0,56789,21.5
561,On the Waterfront,1954,108,8.1,91.0,144268,9.6
562,The Insider,1999,157,7.8,84.0,161669,28.97
563,Malcolm X,1992,202,7.7,73.0,87611,48.17
564,Hero,2002,120,7.9,85.0,175091,53.71
565,Ponyo,2008,101,7.7,86.0,128418,15.09
566,Rebel Without a Cause,1955,111,7.7,89.0,84667,
567,The World's Fastest Indian,2005,127,7.8,68.0,52501,5.13
568,Let the Right One In,2008,114,7.9,82.0,207154,2.12
569,Ghost in the Shell,1995,83,8.0,76.0,131587,0.52
570,King Kong,1933,100,7.9,90.0,80373,10.0
571,Mother,2009,129,7.8,79.0,54971,0.55
572,Finding Neverland,2004,106,7.6,67.0,200094,51.68
573,Hara-Kiri,1962,133,8.6,85.0,44618,
574,What Ever Happened to Baby Jane?,1962,134,8.1,75.0,51047,4.05
575,The King of Comedy,1982,109,7.8,73.0,92040,2.5
576,Funny Games,1997,108,7.6,69.0,66566,
577,Ray,2004,152,7.7,73.0,140035,75.33
578,Nausicaä of the Valley of the Wind,1984,117,8.1,86.0,154488,0.5
579,Night of the Living Dead,1968,96,7.9,89.0,118080,0.09
580,50/50,2011,100,7.6,72.0,317722,35.01
581,Fiddler on the Roof,1971,181,8.0,67.0,40097,80.5
582,Patton,1970,172,7.9,91.0,94572,61.7
583,Before Sunset,2004,80,8.1,90.0,240875,5.82
584,The Thin Man,1934,91,7.9,86.0,27068,
585,Togo,2019,113,8.0,69.0,40130,
586,Dancer in the Dark,2000,140,8.0,61.0,103664,4.18
587,The Nightmare Before Christmas,1993,76,8.0,82.0,303265,75.08
588,Roman Holiday,1953,118,8.0,78.0,129039,
589,Cat on a Hot Tin Roof,1958,108,8.0,84.0,45933,17.57
590,Doctor Zhivago,1965,197,8.0,69.0,70919,111.72
591,All the President's Men,1976,138,7.9,84.0,104996,70.6
592,Enter the Dragon,1973,102,7.7,83.0,98059,25.0
593,On Golden Pond,1981,109,7.6,68.0,28123,119.29
594,The Great Beauty,2013,141,7.8,86.0,82442,2.85
595,Shoplifters,2018,121,7.9,93.0,65749,3.31
596,Short Term 12,2013,96,8.0,82.0,83088,1.01
597,A Prophet,2009,155,7.9,90.0,94628,2.08
598,Yip Man,2008,106,8.0,59.0,213263,
599,La Dolce Vita,1960,174,8.0,95.0,67767,19.52
600,Glengarry Glen Ross,1992,100,7.7,82.0,97089,10.73
601,"Synecdoche, New York",2008,124,7.6,67.0,84808,3.08
602,Star Trek II: The Wrath of Khan,1982,113,7.7,67.0,113960,78.91
603,Before Midnight,2013,109,7.9,94.0,144292,8.11
604,Ed Wood,1994,127,7.8,70.0,166476,5.89
605,The Bridge on the River Kwai,1957,161,8.1,87.0,206283,44.91
606,Me and Earl and the Dying Girl,2015,105,7.7,74.0,124918,6.74
607,Amores Perros,2000,154,8.1,83.0,226615,5.38
608,Fallen Angels,1995,99,7.7,71.0,28189,
609,The Hustler,1961,134,8.0,90.0,75835,8.28
610,For a Few Dollars More,1965,132,8.2,74.0,236379,15.0
611,Like Stars on Earth,2007,165,8.4,,173353,1.22
612,The Bridges of Madison County,1995,135,7.6,69.0,74482,71.52
613,Cabaret,1972,124,7.8,80.0,49001,42.77
614,Kiki's Delivery Service,1989,103,7.8,83.0,127742,
615,Changeling,2008,141,7.7,63.0,241532,35.74
616,Solaris,1972,167,8.1,90.0,82636,
617,8½,1963,138,8.0,91.0,110504,0.05
618,Klaus,2019,96,8.2,65.0,111496,
619,Kung Fu Hustle,2004,99,7.7,78.0,129030,17.11
620,Kelly's Heroes,1970,144,7.6,50.0,45861,1.38
621,Naked,1993,132,7.8,84.0,35444,1.77
622,October Sky,1999,108,7.8,71.0,83926,32.48
623,Barton Fink,1991,116,7.7,69.0,114614,6.15
624,The Longest Day,1962,178,7.8,75.0,52609,39.1
625,How to Train Your Dragon 2,2014,102,7.8,76.0,309676,177.0
626,Andhadhun,2018,139,8.2,,75351,1.37
627,Good Bye Lenin!,2003,121,7.7,68.0,139436,4.06
628,Sing Street,2016,106,7.9,79.0,86656,3.24
629,The Best Offer,2013,131,7.8,49.0,110543,0.09
630,Open Your Eyes,1997,119,7.7,,64780,0.37
631,The Wild Bunch,1969,135,7.9,97.0,78314,12.06
632,Paths of Glory,1957,88,8.4,90.0,181479,
633,The Chorus,2004,97,7.9,56.0,58292,3.64
634,Witness for the Prosecution,1957,116,8.4,,111500,8.18
635,Charade,1963,113,7.9,83.0,70319,13.47
636,Days of Heaven,1978,94,7.8,93.0,53851,
637,The Man from Nowhere,2010,119,7.8,,64108,0.01
638,"Planes, Trains & Automobiles",1987,93,7.6,72.0,126407,49.53
639,Persona,1966,83,8.1,86.0,106077,
640,M,1931,99,8.3,,145987,0.03
641,Gangs of Wasseypur,2012,321,8.2,89.0,84334,
642,Song of the Sea,2014,93,8.1,85.0,53304,0.86
643,Castle in the Sky,1986,125,8.0,78.0,152823,
644,Nosferatu,1922,94,7.9,,89906,
645,Evil Dead II,1987,84,7.8,72.0,150004,5.92
646,From Here to Eternity,1953,118,7.6,85.0,43969,30.5
647,Who's Afraid of Virginia Woolf?,1966,131,8.0,75.0,69818,
648,A Little Princess,1995,97,7.7,83.0,32589,10.02
649,Lucky Number Slevin,2006,110,7.7,53.0,301410,22.49
650,Detachment,2011,98,7.7,52.0,78509,0.07
651,The Body,2012,112,7.6,,59342,
652,Red River,1948,133,7.8,,28649,
653,High Noon,1952,85,7.9,89.0,98461,9.45
654,The Man Who Shot Liberty Valance,1962,123,8.1,94.0,69911,
655,All That Jazz,1979,123,7.9,72.0,28691,37.82
656,Escape from Alcatraz,1979,112,7.6,76.0,123793,43.0
657,La Strada,1954,108,8.0,,59100,
658,The Salesman,2016,124,7.8,85.0,52892,2.4
659,The Quiet Man,1952,129,7.7,,35540,10.55
660,Amour,2012,127,7.9,94.0,94442,6.74
661,Manhattan,1979,96,7.9,83.0,132820,45.7
662,Dial M for Murder,1954,105,8.2,75.0,161160,0.01
663,Baahubali: The Beginning,2015,159,8.0,,104539,6.74
664,Beasts of No Nation,2015,137,7.7,79.0,75297,0.08
665,Guess Who's Coming to Dinner,1967,108,7.8,63.0,40496,56.7
666,21 Grams,2003,124,7.6,70.0,226445,16.29
667,Drishyam,2015,163,8.2,,73006,0.74
668,The Outlaw Josey Wales,1976,135,7.8,69.0,66525,31.8
669,The Chaser,2008,125,7.8,64.0,59804,
670,Cinderella Man,2005,144,8.0,69.0,177981,61.65
671,It Happened One Night,1934,105,8.1,87.0,95754,4.36
672,The Wind Rises,2013,126,7.8,83.0,75810,5.21
673,Rashomon,1950,88,8.2,98.0,155361,0.1
674,Freaks,1932,64,7.9,80.0,42638,
675,Giant,1956,201,7.6,84.0,34658,
676,The Straight Story,1999,112,8.0,86.0,83264,6.2
677,Judgment at Nuremberg,1961,179,8.2,60.0,70919,
678,The Maltese Falcon,1941,100,8.0,96.0,150373,2.11
679,Short Cuts,1993,188,7.7,79.0,42686,6.11
680,Pink Floyd: The Wall,1982,95,8.1,47.0,76902,22.24
681,The Great Dictator,1940,125,8.4,,206382,0.29
682,Watership Down,1978,91,7.6,64.0,34179,
683,Double Indemnity,1944,107,8.3,95.0,145894,5.72
684,The Killing Fields,1984,141,7.8,76.0,52321,34.7
685,Mommy,2014,139,8.1,74.0,51963,3.49
686,Sabrina,1954,113,7.7,72.0,60302,
687,Dara of Jasenovac,2020,130,8.3,,34378,
688,Paper Moon,1973,102,8.1,77.0,42899,30.93
689,Happiness,1998,134,7.7,81.0,67050,2.81
690,A Christmas Story,1983,93,7.9,77.0,133697,20.61
691,The Philadelphia Story,1940,112,7.9,96.0,64420,
692,Modern Times,1936,87,8.5,96.0,222054,0.16
693,All Quiet on the Western Front,1930,152,8.0,91.0,57846,3.27
694,The Day of the Jackal,1973,143,7.8,80.0,38037,16.06
695,In a Better World,2010,118,7.6,65.0,38800,1.01
696,Once,2007,86,7.8,88.0,111619,9.44
697,Harold and Maude,1971,91,7.9,62.0,71796,
698,Breaking the Waves,1996,159,7.8,76.0,63207,4.04
699,Letters from Iwo Jima,2006,141,7.9,89.0,155207,13.76
700,Black Book,2006,145,7.7,71.0,73309,4.4
701,25th Hour,2002,135,7.6,68.0,171031,13.06
702,To Be or Not to Be,1942,99,8.2,86.0,31326,
703,Victoria,2015,138,7.6,77.0,54253,
704,Paprika,2006,90,7.7,81.0,73153,0.88
705,The Manchurian Candidate,1962,126,7.9,94.0,71853,
706,The Secret World of Arrietty,2010,94,7.6,80.0,83069,19.2
707,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85.0,78436,2.38
708,Three Colors: Blue,1993,94,7.9,85.0,91986,1.32
709,Hannah and Her Sisters,1986,107,7.9,90.0,68036,40.08
710,Yojimbo,1961,110,8.2,,113377,
711,Wings of Desire,1987,128,8.0,79.0,65965,3.33
712,PK,2014,153,8.1,,165875,10.62
713,The Night of the Hunter,1955,92,8.0,99.0,83134,0.65
714,Rope,1948,80,8.0,73.0,131796,
715,Mary and Max,2009,92,8.1,,166680,
716,Hamlet,1996,242,7.7,,36274,4.41
717,Bicycle Thieves,1948,89,8.3,,149531,0.33
718,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,,41251,
719,The Verdict,1982,129,7.7,77.0,36747,54.0
720,Where Eagles Dare,1968,158,7.7,63.0,52711,
721,All About My Mother,1999,101,7.8,87.0,90566,8.26
722,A Man Called Ove,2015,116,7.7,70.0,48826,3.36
723,Whisper of the Heart,1995,111,7.9,75.0,53929,
724,Breathless,1960,90,7.8,,74581,0.34
725,La Vie En Rose,2007,140,7.6,66.0,83529,10.3
726,Run Lola Run,1998,80,7.6,77.0,189785,7.27
727,No Man's Land,2001,98,7.9,84.0,45166,1.06
728,Touch of Evil,1958,95,8.0,99.0,99324,2.24
729,Mirror,1975,107,8.1,80.0,41109,0.18
730,East of Eden,1955,118,7.9,72.0,41064,
731,The Message,1976,177,8.2,,44521,
732,Infernal Affairs,2002,101,8.0,75.0,118811,0.17
733,Porco Rosso,1992,94,7.7,83.0,80029,
734,The Grapes of Wrath,1940,129,8.0,96.0,86306,0.06
735,The African Queen,1951,105,7.7,91.0,72393,0.54
736,Adam's Apples,2005,94,7.8,51.0,46616,0.0
737,Gaslight,1944,114,7.8,,25264,
738,Ikiru,1952,143,8.3,,70311,0.06
739,Anatomy of a Murder,1959,161,8.0,95.0,60741,11.9
740,Fantastic Planet,1973,72,7.8,73.0,26407,0.19
741,Kubo and the Two Strings,2016,101,7.8,84.0,119807,48.02
742,Pride,2014,119,7.8,79.0,52723,
743,The Big Sleep,1946,114,7.9,,79520,6.54
744,Mysterious Skin,2004,105,7.6,73.0,66446,0.7
745,The Adventures of Robin Hood,1938,102,7.9,97.0,47747,3.98
746,Secrets & Lies,1996,136,8.0,91.0,38518,13.42
747,Stalag 17,1953,120,8.0,84.0,51463,
748,The Best Years of Our Lives,1946,170,8.0,93.0,57985,23.65
749,Loving Vincent,2017,94,7.8,62.0,52154,6.74
750,Belle de Jour,1967,100,7.7,,41001,0.03
751,The Tenant,1976,126,7.7,71.0,40686,1.92
752,The Secret of Kells,2009,75,7.6,81.0,32714,0.69
753,Notorious,1946,102,7.9,100.0,93379,10.46
754,Tangerines,2013,87,8.2,73.0,42273,0.14
755,Fanny and Alexander,1982,188,8.1,100.0,58408,4.97
756,Swades,2004,189,8.2,,84128,1.22
757,Time of the Gypsies,1988,142,8.2,,28038,0.28
758,Dead Man,1995,121,7.6,62.0,91560,1.04
759,A Man for All Seasons,1966,120,7.7,72.0,31993,28.35
760,High and Low,1963,143,8.4,,36338,
761,The Man Who Would Be King,1975,129,7.8,91.0,45730,
762,The Diving Bell and the Butterfly,2007,112,8.0,92.0,104061,5.99
763,The Wave,2008,107,7.6,,104097,
764,Fantasia,1940,125,7.7,96.0,89792,76.41
765,The Red Shoes,1948,135,8.1,,31583,10.9
766,Once Were Warriors,1994,102,7.9,77.0,31885,2.2
767,The 400 Blows,1959,99,8.1,,107627,
768,The Long Goodbye,1973,112,7.6,87.0,26887,0.96
769,The Innocents,1961,100,7.8,88.0,27542,2.62
770,Waking Life,2001,99,7.8,83.0,61288,2.89
771,Death Note,2006,126,7.7,,28917,
772,Wild Strawberries,1957,91,8.2,88.0,98496,
773,Zulu,1964,138,7.7,77.0,36568,
774,Three Colors: Red,1994,99,8.1,100.0,92776,4.04
775,Gilda,1946,110,7.7,,28495,
776,The Day the Earth Stood Still,1951,92,7.7,,76773,
777,After the Wedding,2006,120,7.7,78.0,32671,0.41
778,City Lights,1931,87,8.5,99.0,170709,0.02
779,Frankenstein,1931,70,7.8,91.0,66188,
780,A Very Long Engagement,2004,133,7.6,76.0,71346,6.17
781,Perfect Strangers,2016,96,7.8,,58703,
782,Dead Man's Shoes,2004,90,7.6,52.0,50289,0.01
783,Children of Heaven,1997,89,8.3,77.0,67134,0.93
784,Duck You Sucker,1971,138,7.6,77.0,30695,0.7
785,Withnail & I,1987,107,7.7,84.0,40978,1.54
786,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73.0,193514,52.04
787,Mr. Smith Goes to Washington,1939,129,8.1,73.0,108451,9.6
788,Sympathy for Mr. Vengeance,2002,129,7.6,56.0,63736,0.05
789,The Tale of The Princess Kaguya,2013,137,8.0,89.0,40231,1.51
790,The Kid,1921,68,8.3,,115930,5.45
791,Leviathan,2014,140,7.6,92.0,50231,1.09
792,Kagemusha,1980,162,8.0,84.0,32718,
793,The Little Prince,2015,108,7.7,70.0,57712,1.34
794,When Marnie Was There,2014,103,7.7,72.0,34235,0.77
795,The Killing,1956,84,8.0,91.0,82853,
796,3-Iron,2004,88,8.0,72.0,51556,0.24
797,Lilya 4-Ever,2002,109,7.8,82.0,43197,0.18
798,The Muppet Movie,1979,95,7.6,74.0,33312,76.66
799,Lagaan: Once Upon a Time in India,2001,224,8.1,84.0,106234,0.07
800,Night on Earth,1991,129,7.8,68.0,56265,2.02
801,The Motorcycle Diaries,2004,126,7.8,75.0,97674,16.76
802,Frost/Nixon,2008,122,7.7,80.0,104145,18.59
803,Fitzcarraldo,1982,158,8.1,,32188,
804,Control,2007,122,7.7,78.0,62162,0.87
805,Talk to Her,2002,112,7.9,86.0,105668,9.28
806,Land of Mine,2015,100,7.8,75.0,36868,0.44
807,The Legend of 1900,1998,169,8.1,58.0,59870,0.26
808,"I, Daniel Blake",2016,100,7.9,78.0,55165,0.26
809,Pink,2016,136,8.1,,40139,1.24
810,The Vanishing,1988,107,7.7,,34531,
811,Hedwig and the Angry Inch,2001,95,7.7,85.0,32253,3.03
812,Andrei Rublev,1966,205,8.1,,48351,0.1
813,Ninja Scroll,1993,94,7.9,,35016,
814,The Double Life of Véronique,1991,98,7.8,86.0,43533,2.0
815,The Battle of Algiers,1966,121,8.1,96.0,54325,0.06
816,Underground,1995,167,8.1,,55772,0.17
817,The White Ribbon,2009,144,7.8,82.0,69545,2.22
818,Three Colors: White,1994,92,7.6,88.0,66031,1.46
819,Persepolis,2007,96,8.0,90.0,89758,4.45
820,The Station Agent,2003,89,7.6,81.0,67823,5.74
821,"Aguirre, the Wrath of God",1972,95,7.9,,53198,
822,Wolf Children,2012,117,8.1,71.0,39836,
823,The Sea Inside,2004,126,8.0,74.0,78341,2.09
824,The Cabinet of Dr. Caligari,1920,67,8.1,,58333,
825,Zindagi Na Milegi Dobara,2011,155,8.2,,69153,3.11
826,Vikram Vedha,2017,147,8.4,,29862,
827,The Sacrifice,1986,149,8.1,,25221,0.3
828,Shine,1996,105,7.7,87.0,51819,35.81
829,The Broken Circle Breakdown,2012,111,7.7,70.0,39800,0.18
830,Drishyam,2013,160,8.3,,34868,
831,Eyes Without a Face,1960,90,7.7,90.0,28234,0.05
832,Autumn Sonata,1978,99,8.2,,28562,
833,The 39 Steps,1935,86,7.6,93.0,52832,
834,Head-On,2004,121,7.9,78.0,51869,
835,The Lunchbox,2013,104,7.8,76.0,51472,4.23
836,Scarface,1932,93,7.8,87.0,25751,
837,Le Samouraï,1967,101,8.1,,46466,0.04
838,The Ladykillers,1955,91,7.7,91.0,27040,
839,Wait Until Dark,1967,108,7.8,81.0,28101,17.55
840,The Odd Couple,1968,105,7.7,86.0,32122,44.53
841,Cowboy Bebop: The Movie,2001,115,7.9,61.0,43595,1.0
842,Key Largo,1948,100,7.8,,37458,
843,Peeping Tom,1960,101,7.7,,32094,0.08
844,Amarcord,1973,123,7.9,,40535,0.58
845,Rang De Basanti,2006,167,8.1,,113601,2.2
846,To Have and Have Not,1944,100,7.8,90.0,31546,
847,Invasion of the Body Snatchers,1956,80,7.7,92.0,45497,
848,Repulsion,1965,105,7.7,91.0,49572,
849,The Conformist,1970,113,8.0,100.0,27751,0.54
850,The Hidden Fortress,1958,126,8.1,,35606,
851,Winter Sleep,2014,196,8.1,88.0,47747,0.17
852,Elite Squad,2007,115,8.0,33.0,99104,0.01
853,Cries & Whispers,1972,91,8.1,,30893,1.74
854,My Name Is Khan,2010,165,8.0,50.0,99652,4.02
855,The Return,2003,110,8.0,82.0,43162,0.5
856,Loveless,2017,127,7.6,86.0,30514,0.57
857,Tokyo Story,1953,136,8.2,,54761,
858,Throne of Blood,1957,110,8.1,,47587,
859,Bajrangi Bhaijaan,2015,163,8.0,,73516,8.18
860,A Hard Day's Night,1964,87,7.6,96.0,40815,13.78
861,Ayla: The Daughter of War,2017,125,8.4,,35300,
862,Down by Law,1986,107,7.8,75.0,48473,1.44
863,Au Revoir les Enfants,1987,104,8.0,88.0,31697,4.54
864,Nights of Cabiria,1957,110,8.1,,43660,0.75
865,The Bandit,1996,128,8.2,,65478,
866,Arsenic and Old Lace,1942,118,7.9,,65740,
867,Out of the Past,1947,97,8.0,,33425,
868,Gully Boy,2019,154,8.0,65.0,32914,5.57
869,Fearless,2006,104,7.6,70.0,73327,24.63
870,Rififi,1955,118,8.1,97.0,30290,0.06
871,Nobody Knows,2004,141,8.1,88.0,25398,0.68
872,Bringing Up Baby,1938,102,7.8,91.0,55947,
873,Only Yesterday,1991,118,7.6,90.0,28077,0.45
874,Cape Fear,1962,106,7.7,76.0,26809,
875,The Past,2013,130,7.7,85.0,45529,1.33
876,Lupin the Third: Castle of Cagliostro,1979,102,7.7,71.0,27738,
877,Laura,1944,88,7.9,,43312,4.36
878,"Black Cat, White Cat",1998,127,8.1,73.0,51453,0.35
879,Tokyo Godfathers,2003,92,7.9,73.0,32608,0.13
880,In America,2002,105,7.7,76.0,40632,15.54
881,Diabolique,1955,117,8.0,,62113,
882,Sunrise,1927,94,8.1,,47379,0.54
883,His Girl Friday,1940,92,7.9,,54388,0.3
884,Batman: Mask of the Phantasm,1993,76,7.8,,44720,5.62
885,Ivan's Childhood,1962,84,8.1,,32571,
886,The Bride of Frankenstein,1935,75,7.8,95.0,44062,4.36
887,Mustang,2015,97,7.6,83.0,36458,0.85
888,The Wages of Fear,1953,131,8.1,85.0,55736,
889,Harvey,1950,104,7.9,,52966,
890,Battleship Potemkin,1925,66,8.0,97.0,53900,0.05
891,The Lady Vanishes,1938,96,7.8,98.0,48303,
892,Il Postino,1994,108,7.7,81.0,34178,21.85
893,The Invisible Man,1933,71,7.7,87.0,31270,
894,Hard Boiled,1992,128,7.8,,47253,
895,Brief Encounter,1945,86,8.0,92.0,36486,
896,The Discreet Charm of the Bourgeoisie,1972,102,7.9,93.0,39490,0.2
897,Raise the Red Lantern,1991,125,8.1,,30119,2.6
898,Rockstar,2011,159,7.7,,40132,0.99
899,In a Lonely Place,1950,94,8.0,,27502,
900,My Father and My Son,2005,112,8.3,,80653,
901,Darbareye Elly,2009,119,8.0,87.0,47188,0.11
902,Interstate 60: Episodes of the Road,2002,116,7.7,,30364,
903,Crimes and Misdemeanors,1989,104,7.9,77.0,55348,18.25
904,The General,1926,67,8.1,,82570,1.03
905,The Experiment,2001,120,7.7,60.0,91399,0.14
906,Talvar,2015,132,8.2,,31728,0.34
907,G.O.R.A.,2004,127,8.0,,58081,
908,Once Upon a Time in Anatolia,2011,157,7.9,82.0,43073,0.14
909,Queen,2013,146,8.2,,61331,1.43
910,Evil,2003,113,7.8,61.0,35992,0.02
911,Farewell My Concubine,1993,171,8.1,,25613,5.22
912,L'Avventura,1960,144,7.9,,27101,
913,Sleuth,1972,138,8.0,,45179,4.08
914,Confessions,2010,106,7.8,,36250,
915,The Lost Weekend,1945,101,7.9,,34069,9.46
916,Chhichhore,2019,143,8.2,,35594,0.9
917,The Taking of Pelham One Two Three,1974,104,7.7,68.0,27160,0.85
918,Jules and Jim,1962,105,7.8,97.0,38359,
919,K.G.F: Chapter 1,2018,156,8.2,,38874,
920,Kahaani,2012,122,8.1,,58456,1.04
921,Departures,2008,130,8.1,68.0,49188,1.5
922,The Gold Rush,1925,95,8.2,,102987,5.45
923,Fireworks,1997,103,7.8,,28244,0.23
924,Dil Chahta Hai,2001,183,8.1,,67512,0.3
925,Miracle on 34th Street,1947,96,7.9,88.0,41961,2.65
926,White Heat,1949,114,8.1,,30243,
927,The Virgin Spring,1960,89,8.1,,27137,1.53
928,My Sassy Girl,2001,137,8.0,,45795,
929,The Magdalene Sisters,2002,114,7.7,83.0,26165,4.89
930,The Girl Who Leapt Through Time,2006,98,7.7,,61466,
931,Vivre Sa Vie,1962,85,8.0,,28784,
932,The Passion of Joan of Arc,1928,114,8.1,,48981,0.02
933,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97.0,57296,1.19
934,Ace in the Hole,1951,111,8.1,72.0,32233,3.97
935,The Killer,1989,111,7.8,82.0,46044,
