,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
103,The Big Lebowski,1998,117,8.1,71.0,743472,17.5
104,The Truman Show,1998,103,8.1,90.0,958864,125.62
105,Donnie Darko,2001,113,8.0,88.0,748606,1.48
106,One Flew Over the Cuckoo's Nest,1975,133,8.7,83.0,931196,112.0
107,Taxi Driver,1976,114,8.2,94.0,738761,28.26
108,Braveheart,1995,178,8.3,68.0,970962,75.6
109,Harry Potter and the Goblet of Fire,2005,157,7.7,81.0,558394,290.01
110,Requiem for a Dream,2000,102,8.3,68.0,778289,3.64
111,American Psycho,2000,101,7.6,64.0,504377,15.07
112,The Sandlot,1993,101,7.8,55.0,80483,32.42
113,There Will Be Blood,2007,158,8.2,93.0,527606,40.22
114,The Fifth Element,1997,126,7.7,52.0,439427,63.54
115,The Shining,1980,146,8.4,66.0,914521,44.02
116,A Star Is Born,2018,136,7.6,88.0,344068,215.29
117,The Last Picture Show,1971,118,8.0,93.0,43410,29.13
118,12 Angry Men,1957,96,9.0,96.0,704057,4.36
119,Batman Begins,2005,140,8.2,70.0,1328876,206.85
120,Arrival,2016,116,7.9,81.0,608691,100.55
121,Dunkirk,2017,106,7.8,94.0,570278,188.37
122,Prisoners,2013,153,8.1,70.0,614671,61.0
123,A Clockwork Orange,1971,136,8.3,77.0,768192,6.21
124,Shrek,2001,90,7.8,84.0,622698,267.67
125,Spirited Away,2001,125,8.6,96.0,667757,10.06
126,Star Wars: Episode IV - A New Hope,1977,121,8.6,90.0,1247900,322.74
127,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63.0,1024770,305.41
128,Moneyball,2011,133,7.6,87.0,377918,75.61
129,The Hobbit: An Unexpected Journey,2012,169,7.8,58.0,766002,303.0
130,The Breakfast Club,1985,97,7.8,66.0,362299,45.88
131,Zootopia,2016,108,8.0,78.0,442561,341.27
132,Hot Fuzz,2007,121,7.8,81.0,469987,23.64
133,Nightcrawler,2014,117,7.8,76.0,477654,32.38
134,The Revenant,2015,156,8.0,76.0,719232,183.64
135,Snatch,2000,102,8.3,55.0,792518,30.33
136,Captain Fantastic,2016,118,7.9,72.0,196495,5.88
137,The Lord of the Rings: The Two Towers,2002,179,8.7,87.0,1508418,342.55
138,Hidden Figures,2016,127,7.8,74.0,205762,169.61
139,Kingsman: The Secret Service,2014,129,7.7,60.0,598936,128.26
140,Paddington 2,2017,103,7.8,88.0,63867,40.44
141,Rogue One: A Star Wars Story,2016,133,7.8,65.0,565702,532.18
142,Mary Poppins,1964,139,7.8,88.0,159979,102.27
143,Black Swan,2010,108,8.0,79.0,708736,106.95
144,The Social Network,2010,120,7.7,95.0,636608,96.96
145,Memento,2000,113,8.4,80.0,1141883,25.54
146,Into the Wild,2007,148,8.1,73.0,582142,18.35
147,La La Land,2016,128,8.0,94.0,517948,151.1
148,Tombstone,1993,130,7.8,50.0,129780,56.51
149,The Pianist,2002,150,8.5,85.0,745934,32.57
150,Boogie Nights,1997,155,7.9,85.0,243035,26.4
151,The Lion King,1994,88,8.5,88.0,958633,422.78
152,The Help,2011,146,8.0,62.0,433426,169.71
153,Coco,2017,105,8.4,81.0,402394,209.73
154,Drive,2011,100,7.8,78.0,580516,35.06
155,The Usual Suspects,1995,106,8.5,77.0,1005067,23.34
156,Moonrise Kingdom,2012,94,7.8,84.0,323969,45.51
157,Stand by Me,1986,89,8.1,75.0,368531,52.29
158,My Cousin Vinny,1992,120,7.6,68.0,109940,52.93
159,Kill Bill: Vol. 1,2003,111,8.1,69.0,1016060,70.1
160,Just Mercy,2019,137,7.6,68.0,51023,
161,Ghostbusters,1984,105,7.8,71.0,360538,238.63
162,Wonder,2017,113,8.0,66.0,146437,132.42
163,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,924756,34.4
164,Brokeback Mountain,2005,134,7.7,87.0,327753,83.04
165,Sicario,2015,121,7.6,82.0,379049,46.89
166,Platoon,1986,120,8.1,92.0,386490,138.53
167,Lion,2016,118,8.0,69.0,218601,51.74
168,The Girl with the Dragon Tattoo,2011,158,7.8,71.0,429930,102.52
169,The Raid: Redemption,2011,101,7.6,73.0,192714,4.11
170,Room,2015,118,8.1,86.0,380290,14.68
171,2001: A Space Odyssey,1968,149,8.3,84.0,612912,56.95
172,Zodiac,2007,157,7.7,78.0,478074,33.08
173,Ex Machina,2014,108,7.7,78.0,481919,25.44
174,Casino Royale,2006,144,8.0,80.0,588293,167.45
175,Dances with Wolves,1990,181,8.0,72.0,244597,184.21
176,Life Is Beautiful,1997,116,8.6,59.0,634922,57.6
177,The Big Short,2015,130,7.8,81.0,374470,70.26
178,The Handmaiden,2016,145,8.1,84.0,119540,2.01
179,Oldboy,2003,101,8.4,77.0,525142,0.71
180,Come and See,1985,142,8.3,,62166,
181,Mulholland Dr.,2001,147,7.9,85.0,327472,7.22
182,Harry Potter and the Half-Blood Prince,2009,153,7.6,78.0,484979,301.96
183,"The Good, the Bad and the Ugly",1966,178,8.8,90.0,698626,6.1
184,Jaws,1975,124,8.0,87.0,548758,260.0
185,True Romance,1993,119,7.9,59.0,209723,12.28
